"MaximumInscribedSphereRadius","TCoords:0","TCoords:1","Curvature","Torsion","FrenetTangent:0","FrenetTangent:1","FrenetTangent:2","FrenetNormal:0","FrenetNormal:1","FrenetNormal:2","FrenetBinormal:0","FrenetBinormal:1","FrenetBinormal:2","Points:0","Points:1","Points:2"
2.3974,0.67785,0,0.010772,3.9468,0.32195,-0.31202,-0.89386,-0.18711,-0.94648,0.26299,-0.92808,0.082583,-0.36311,-10.57,-70.72,-558.59
2.4051,0.68456,0,0.012051,3.1886,0.3208,-0.31378,-0.89366,-0.78672,-0.61368,-0.066934,-0.52742,0.72453,-0.44373,-10.506,-70.782,-558.77
2.4128,0.69128,0,0.018025,1.9836,0.31815,-0.31495,-0.8942,-0.93879,-0.23608,-0.25086,-0.1321,0.91928,-0.37079,-10.441,-70.846,-558.95
2.4205,0.69799,0,0.026906,2.8224,0.31393,-0.31514,-0.89562,-0.92937,0.090984,-0.35777,0.19423,0.94468,-0.26431,-10.378,-70.909,-559.13
2.4267,0.7047,0,0.045709,1.8382,0.30827,-0.3122,-0.89861,-0.6835,0.58432,-0.43749,0.66166,0.74907,-0.033261,-10.315,-70.972,-559.31
2.4326,0.71141,0,0.077653,0.74969,0.30123,-0.3036,-0.90393,-0.49971,0.75711,-0.42081,0.81213,0.57846,0.07635,-10.253,-71.035,-559.49
2.4386,0.71812,0,0.11111,0.36521,0.2927,-0.28853,-0.91163,-0.41474,0.82074,-0.39292,0.86158,0.49309,0.12057,-10.194,-71.095,-559.67
2.4445,0.72483,0,0.14685,0.21563,0.28255,-0.26679,-0.9214,-0.37498,0.85339,-0.36209,0.88292,0.44782,0.14109,-10.136,-71.151,-559.86
2.4505,0.73154,0,0.18176,0.13638,0.27064,-0.23825,-0.93273,-0.35125,0.87766,-0.3261,0.89631,0.41588,0.15385,-10.08,-71.202,-560.04
2.4564,0.73826,0,0.21679,0.12601,0.25682,-0.20285,-0.94493,-0.34302,0.89494,-0.28534,0.90354,0.39741,0.16026,-10.027,-71.246,-560.23
2.4572,0.74497,0,0.20701,0.21235,0.24269,-0.16443,-0.95607,-0.32219,0.91593,-0.23931,0.91504,0.36611,0.16931,-9.9774,-71.283,-560.42
2.4539,0.75168,0,0.16188,0.39922,0.23156,-0.13014,-0.96408,-0.27312,0.94246,-0.19282,0.9337,0.30795,0.18269,-9.9301,-71.312,-560.61
2.4505,0.75839,0,0.11666,0.77015,0.22508,-0.10342,-0.96884,-0.17387,0.97413,-0.14438,0.9587,0.20095,0.20127,-9.8845,-71.335,-560.81
2.4471,0.7651,0,0.074862,1.8786,0.22347,-0.084516,-0.97104,0.058669,0.99559,-0.073152,0.97294,-0.040623,0.22745,-9.8397,-71.354,-561
